"tag","dbh","lianaLoad","species","subplot","ptQuality","totVol","totArea","trunkArea","trunkVol","branchVol12","branchArea12","branchLen12","branchNo12"
681,44.8,100,"Beilschmiedia pendula",91,"ok",2999.0583,67.74291,26.498644,1777.5446,1221.5138,41.244267,142.49777,56
681,44.8,100,"Beilschmiedia pendula",91,"ok",3494.701,67.52723,25.861444,2227.4458,1267.2551,41.665787,129.53477,48
681,44.8,100,"Beilschmiedia pendula",91,"ok",3038.8162,55.174187,25.398983,2173.413,865.403,29.775206,101.37525,38
681,44.8,100,"Beilschmiedia pendula",91,"ok",3063.873,59.322586,24.098858,2043.8882,1019.985,35.22373,121.08419,47
681,44.8,100,"Beilschmiedia pendula",91,"ok",3278.6528,72.26735,25.08948,2011.5509,1267.102,47.177868,177.03294,78
681,44.8,100,"Beilschmiedia pendula",91,"ok",2825.8884,53.62668,23.893682,1973.9146,851.97394,29.732998,100.02729,33
681,44.8,100,"Beilschmiedia pendula",91,"ok",2569.6763,52.93254,22.620132,1688.9059,880.7703,30.312407,103.05993,42
684,85.3,0,"Dipteryx oleifera",91,"ok",12490.445,182.57196,62.306164,9787.859,2702.5864,120.26579,541.596,203
684,85.3,0,"Dipteryx oleifera",91,"ok",11519.644,146.98273,65.567986,9983.641,1536.0032,81.414734,406.0407,143
684,85.3,0,"Dipteryx oleifera",91,"ok",10391.693,108.80359,58.556755,9250.139,1141.5552,50.246834,208.45288,93
684,85.3,0,"Dipteryx oleifera",91,"ok",10731.859,107.922554,59.90776,9552.525,1179.3344,48.014793,201.61185,95
684,85.3,0,"Dipteryx oleifera",91,"ok",12136.276,165.2894,63.76422,9967.006,2169.2708,101.52518,462.8478,183
684,85.3,0,"Dipteryx oleifera",91,"ok",12318.827,184.20367,62.67453,9839.308,2479.5198,121.52915,570.5362,197
