Tag,q20,Species,DBH_cm,Height,CC,Lianas,Illumination
613049,1305,CECRIN,29.3,24.5,4,0,3
275527,1019,CECRIN,29.4,24.7,4,0,4
633195,3315,CECRIN,33.6,24.8,4,0,4
239708,424,CECRIN,35,25.5,2,0,3
77665,3616,CECRIN,21.3,26.3,4,0,4
719031,1901,CECRIN,26.1,27,4,0,4
8187,124,CECRIN,45.2,27.3,4,0,4
4846,2119,CECRIN,44.4,28,4,0,4
4839,2120,CECRIN,44.7,28.4,4,0,4
4088,2621,CECRIN,40.7,30.2,4,0,4
4137,2521,CECRIN,31.9,30.4,4,0,4
39052,4423,CECRIN,27.9,30.5,4,0,4
7317,601,CECRIN,41.2,30.5,3,0,4
54145,4124,CECRIN,37.2,30.7,4,0,4
6089,1424,CECRIN,39.6,30.9,3,0,3
80756,3504,CECRIN,45.8,31.4,4,0,4
725352,2516,CECROB,20,22.2,4,0,3
719036,1901,CECROB,21.3,22.2,4,0,3
713072,1305,CECROB,21.8,23.7,4,4,4
25041,4600,CEIBPE,23.5,19.7,2,0,3
2307,3609,CEIBPE,46.1,22.8,4,0,4
4446,2424,CEIBPE,46.1,26,3,3,4
5444,1723,CEIBPE,93,32.7,4,0,5
5027,2012,CEIBPE,128.9,36,4,0,5
4722,2215,CEIBPE,97,36.9,4,0,5
3853,2717,CEIBPE,127.9,37.4,4,1,5
4694,2210,CEIBPE,169.4,39.1,4,0,5
7772,420,CEIBPE,148.2,39.9,4,0,5
4146,2519,CEIBPE,153.2,41.1,4,0,5
1993,3812,CEIBPE,216.1,41.1,4,0,5
6647,1003,CEIBPE,176.2,42.7,4,1,4
28183,4616,CHIMPA,20.6,22.3,4,0,3
176143,1707,CHR2AR,28.8,20.1,4,4,3
6847,920,CHR2AR,32.3,21.9,2,3,4
4735,2217,CHR2CA,50.7,23.6,3,3,4
4898,2109,CHR2CA,75.2,31.9,4,2,3
2673,3413,CHR2CA,100.5,34.4,4,0,4
673,4521,CHR2CA,83.9,34.6,4,0,4
4585,2306,COLUGL,45.6,35,1,4,0
257823,115,CORDAL,27.3,26.9,4,0,4
258071,116,CORDAL,37.8,28.3,4,0,4
409336,912,CORDBI,24.8,15.3,2,4,4
173632,1823,CORDBI,23.7,16.4,4,0,3
258076,116,CORDBI,26.5,16.5,4,3,2
7347,606,CORDBI,35.3,18.1,4,4,3
6781,1019,CORDBI,30.1,19.5,3,4,3
217175,912,CORDBI,21.9,20.3,4,0,3
252149,211,CORDBI,26.8,20.9,4,4,3
236664,509,CORDBI,27.2,23.3,4,0,2
4385,2414,CORDBI,30.6,26.7,4,0,3
525,4606,CORDBI,44,26.9,3,4,2
4836,2120,CORDBI,35.2,27.5,4,0,4
7302,701,CORDBI,37.8,27.5,4,1,5
180376,1601,CUPALA,27.1,15.5,4,4,3
805,4504,CUPALA,50,26.1,4,0,3
172148,1815,DENDAR,20.7,13.3,2,2,2
6749,1014,DENDAR,23.3,14.1,4,1,2
244157,420,DENDAR,27.7,14.7,3,4,1
5946,1404,DENDAR,26.6,15.1,4,3,1
4447,2424,DENDAR,31.4,16,3,3,2
4443,2423,DENDAR,28.7,17.9,4,0,2
1390,4121,DENDAR,44.3,21.5,4,0,2
1089,4313,DENDAR,78.4,30.7,4,0,4
240714,403,DIPTPA,43.8,33.5,4,0,4
6058,1420,DIPTPA,85.5,34.3,4,2,5
138502,2521,DIPTPA,49.8,35.1,4,0,4
6133,1318,DIPTPA,93.1,35.9,4,2,4
2854,3312,DIPTPA,60.5,36.2,4,1,4
7221,713,DIPTPA,74.8,39.9,4,0,4
7715,411,DIPTPA,121.2,40.5,4,0,5
7173,720,DIPTPA,109,41.4,4,0,4
3711,2810,DIPTPA,101.5,41.6,4,0,5
5440,1723,DIPTPA,93.8,41.7,3,0,5
684,4520,DIPTPA,83.2,41.9,4,0,5
1907,3901,DIPTPA,84.5,42.1,4,0,4
3875,2714,DIPTPA,78.9,42.4,4,0,4
1441,4114,DIPTPA,89.3,42.8,4,0,5
7114,819,DIPTPA,100.7,43.3,4,0,5
7927,307,DIPTPA,96.8,43.9,4,0,5
7168,721,DIPTPA,93.5,44.4,4,0,4
465,4702,DIPTPA,102.3,47.3,4,0,5
4186,2513,DIPTPA,138.3,48.4,4,0,5
1342,4221,DIPTPA,174.6,54.9,4,0,5
96221,3206,DRYPST,23.2,16.4,4,3,3
521,4605,DRYPST,23.7,16.7,4,2,2
45308,4801,DRYPST,22.4,16.9,4,1,3
129082,4923,DRYPST,26.8,18.5,4,0,3
125511,4903,DRYPST,22,18.7,4,3,3
26867,4610,DRYPST,39.5,19.9,4,1,3
17573,4212,DRYPST,22.1,20.6,4,4,3
407,4709,DRYPST,22,21.3,4,4,3
75514,3603,DRYPST,23.2,21.3,4,0,3
858,4404,DRYPST,41.6,21.3,4,2,4
1262,4212,DRYPST,41.1,24.2,4,0,4
80861,3504,DRYPST,28.2,27.2,4,1,3
157093,2114,EUGECO,25,22.4,4,4,3
5541,1708,EUGENE,31.5,15.1,2,1,3
52503,4112,EUGENE,24.7,18.8,4,0,2
