Tag,q20,Species,DBH_cm,Height,CC,Lianas,Illumination,no height,liana cat 1 height,liana cat 2 height
428,4707,ASPICR,85.3,30.7,4,2,4,35.0990298,33.05502143,31.44290901
4825,2121,ASPICR,77,38.9,4,2,3,33.97837058,31.99962432,30.43898422
7663,403,AST2GR,42.5,35.7,4,0,4,26.76732455,25.20851692,23.97908304
7391,612,AST2GR,60,36.3,4,0,4,31.07374846,29.26415423,27.83692458
4901,2108,AST2GR,49.7,37.4,4,0,4,28.75157852,27.07721693,25.75664548
5221,1907,AST2GR,84.1,39.9,4,1,5,34.94666357,32.91152832,31.30641414
7234,712,AST2GR,47,31.1,2,2,4,28.04764466,26.41427699,25.1260375
1328,4220,BEILPE,22.5,20.5,4,0,2,18.7324406,17.64154818,16.78115972
1392,4120,BEILPE,28.7,25.1,4,0,2,21.7437707,20.47751207,19.47881202
28496,4617,BEILPE,35.9,25.2,4,0,4,24.60209311,23.16937875,22.03939481
1388,4121,BEILPE,43.6,27.1,4,0,3,27.0935808,25.51577349,24.27135453
2496,3513,BEILPE,48.9,28.6,4,0,4,28.5476585,26.88517229,25.57396697
1345,4221,BEILPE,40.6,28.7,4,0,3,26.18188677,24.65717238,23.45462789
20,4921,BEILPE,59.9,29,2,0,3,31.0536028,29.24518176,27.81887741
1347,4221,BEILPE,34.7,29.3,4,0,3,24.16549425,22.75820542,21.64827465
13135,523,BEILPE,42.2,29.3,4,0,3,26.67676377,25.12322999,23.89795561
7826,322,BEILPE,71.2,29.7,4,0,4,33.09144859,31.16435265,29.64444923
43196,4320,BEILPE,35.6,29.9,4,0,4,24.49429693,23.06786012,21.94282731
7222,713,BEILPE,53.1,30.7,4,0,3,29.57746691,27.85500933,26.49650449
7330,503,BEILPE,58.7,30.7,4,0,4,30.80852929,29.01438021,27.59933219
1016,4322,BEILPE,41.2,32.7,4,0,4,26.36985009,24.83418957,23.62301185
4085,2620,BEILPE,56.2,33.2,4,0,4,30.27743728,28.5142166,27.12356184
1265,4212,BEILPE,53.4,34,4,0,4,29.64732716,27.92080123,26.55908769
620,4621,BEILPE,65.9,34.3,4,0,4,32.19215797,30.31743263,28.83883399
7153,724,BEILPE,84.3,36.3,4,0,4,34.9722709,32.93564439,31.32935406
1745,4023,BEILPE,48,36.7,4,0,4,28.3136196,26.66476276,25.36430693
1747,4024,BEILPE,67.1,37.9,4,0,4,32.40390857,30.51685184,29.02852742
25,4921,BEILPE,34,30.5,4,1,3,23.90399719,22.51193676,21.41401665
1739,4023,BEILPE,73.5,38.5,4,1,4,33.45447458,31.50623765,29.96966031
58825,4023,BEILPE,29.7,27.9,4,1,3,22.17752005,20.88600182,19.8673795
16865,4210,BEILPE,25.7,26.3,4,2,3,20.36018328,19.17449851,18.23934718
7067,812,BEILPE,53.2,27.5,3,2,4,29.60080584,27.8769891,26.5174123
3644,2800,BEILPE,85,34.2,3,2,4,35.06122407,33.01941733,31.40904135
56972,4020,BEILPE,28.5,23.4,4,2,3,21.65544198,20.39432722,19.39968414
4744,2218,BEILPE,45.5,28.8,4,2,3,27.63649633,26.02707208,24.7577168
868,4405,BEILPE,34,29.7,4,2,3,23.90399719,22.51193676,21.41401665
1776,3921,BEILPE,47,31.7,3,2,4,28.04764466,26.41427699,25.1260375
2173,3711,BROSAL,62.5,31.1,4,0,4,31.56406244,29.72591454,28.27616458
4609,2302,BROSAL,43.3,33.6,2,0,3,27.00549347,25.43281597,24.19244289
13136,523,BROSAL,78.3,33.7,4,0,4,34.16473181,32.17513272,30.60593298
4903,2108,BROSAL,75.3,34.8,4,0,4,33.72805038,31.76388163,30.21473885
6193,1310,BROSAL,66.5,34.9,4,0,5,32.29865581,30.41772853,28.9342384
6704,1006,BROSAL,114.2,37.5,4,0,5,38.02667359,35.81217251,34.06559225
2278,3604,BROSAL,67.1,37.7,4,0,4,32.40390857,30.51685184,29.02852742
4156,2518,BROSAL,104.8,38.3,4,0,4,37.2077423,35.04093207,33.33196565
7086,816,BROSAL,111,38.9,4,0,4,37.75978962,35.56083066,33.82650849
4524,2316,BROSAL,98.7,39.4,4,0,5,36.61439632,34.48213987,32.80042606
7621,502,BROSAL,77.8,39.7,4,0,4,34.09356203,32.10810755,30.54217666
3681,2805,BROSAL,89.5,40.4,4,0,4,35.60916192,33.53544577,31.89990278
2347,3614,BROSAL,83.5,42.3,4,0,5,34.86932281,32.83869153,31.23712964
1730,4022,BROSAL,110.5,43.3,4,0,5,37.7170226,35.52055419,33.78819632
8,4923,BROSAL,118.6,43.5,4,0,5,38.37537668,36.14056872,34.37797239
800,4505,BROSAL,47.3,22.1,2,1,4,28.1281051,26.49005178,25.19811671
226,4810,BROSAL,91.9,40.4,4,1,5,35.88548335,33.79567549,32.14744095
4471,2322,BROSAL,72.7,35.7,3,2,4,33.32995787,31.38897223,29.85811399
4673,2206,BROSAL,76.6,40.3,4,2,4,33.92015653,31.9448004,30.3868341
4274,2501,BROSAL,107.8,40.6,4,2,4,37.48087775,35.29816136,33.57664971
6171,1313,BROSAL,61.3,33.3,4,2,4,31.33186479,29.50723903,28.068154
50,4916,BROSAL,77.1,34.7,4,2,4,33.99285928,32.01326927,30.4519637
191,4803,CALOLO,78.7,32.1,4,0,4,34.22121752,32.22832895,30.6565348
949,4417,CALOLO,68.5,40.9,4,0,4,32.64477592,30.74369217,29.24430461
3994,2605,CALOLO,88.3,36.4,4,1,5,35.46696039,33.40152541,31.77251379
25032,4600,CALOLO,30.5,17.4,4,1,2,22.51531824,21.20412818,20.16999065
7369,609,CALOLO,54.8,29.9,4,1,4,29.96724028,28.22208406,26.84567678
6163,1315,CALOLO,75.6,34.5,4,1,4,33.7727826,31.80600885,30.2548115
7246,710,CALOLO,94.5,36.7,4,1,4,36.17324945,34.06668339,32.40523164
7341,605,CALOLO,57.7,24.9,1,2,4,30.59949762,28.8175216,27.41207449
7797,423,CASEAR,50.2,28.5,4,0,4,28.87711131,27.19543926,25.86910204
147565,2316,CASESY,21.2,13.4,4,2,2,18.02088443,16.97142982,16.14372342
61292,3907,CASSEL,27.5,20.1,4,0,3,21.20564418,19.9707236,18.99673992
198772,1313,CASSEL,21.8,18.1,4,1,2,18.35313197,17.28432877,16.44136211
1980,3810,CASSEL,32.9,23.1,4,2,3,23.48250311,22.11498859,21.03642787
2741,3422,CAVAPL,138.7,31.8,4,0,5,39.74219768,37.42779226,35.6024173
2016,3816,CAVAPL,124.4,36.3,4,0,5,38.80543234,36.54557989,34.76323092
427,4707,CAVAPL,139.9,36.3,4,0,5,39.81378593,37.49521154,35.66654849
3603,2906,CAVAPL,136.8,39.8,4,0,4,39.62678669,37.31910229,35.49902819
3008,3208,CAVAPL,162.7,39.8,4,0,4,41.00744534,38.61935763,36.73586933
3661,2803,CAVAPL,133,40,4,0,5,39.38806669,37.09428425,35.28517466
1091,4312,CAVAPL,190,41.5,4,0,5,42.11557073,39.66295083,37.72856589
3628,2903,CAVAPL,216.2,43,4,0,5,42.95021595,40.44899009,38.47626957
2948,3201,CAVAPL,231.3,44,4,0,5,43.35578538,40.830941,38.83959251
3654,2801,CAVAPL,210,45.8,4,0,4,42.76902195,40.27834801,38.3139498
120,4906,CAVAPL,160.1,34.7,3,1,5,40.88555247,38.50456326,36.62667355
719030,1901,CECRIN,20,19.5,4,0,3,17.33584225,16.32628139,15.53003925
633185,3315,CECRIN,25.7,21.4,4,0,4,20.36018328,19.17449851,18.23934718
259246,124,CECRIN,22.2,21.6,4,0,3,18.57095855,17.48947012,16.6364986
719121,1902,CECRIN,26.5,21.7,4,0,4,20.74180241,19.53389387,18.58121463
721404,2117,CECRIN,28.7,21.7,4,0,4,21.7437707,20.47751207,19.47881202
725369,2516,CECRIN,22.2,22,4,0,3,18.57095855,17.48947012,16.6364986
440922,4020,CECRIN,29,22.3,4,0,3,21.87526688,20.60135051,19.59661079
734126,3404,CECRIN,27.4,22.5,4,0,4,21.15990238,19.92764559,18.95576285
133250,2620,CECRIN,28.4,22.9,4,0,3,21.61107648,20.35254536,19.35994001
257704,115,CECRIN,24.9,23.1,4,0,3,19.9688127,18.80591958,17.88874406
138650,2521,CECRIN,20.2,23.2,4,0,3,17.45196839,16.43564487,15.63406901
259248,124,CECRIN,27.1,23.5,4,0,3,21.02182819,19.79761222,18.83207128
259310,124,CECRIN,29.3,23.5,4,0,3,22.00558073,20.72407547,19.71335039
272347,713,CECRIN,28.1,24.1,3,0,2,21.47716821,20.2264353,19.23998041
405283,512,CECRIN,39.4,24.3,4,0,4,25.79706598,24.29476181,23.10989229
613049,1305,CECRIN,29.3,24.5,4,0,3,22.00558073,20.72407547,19.71335039
275527,1019,CECRIN,29.4,24.7,4,0,4,22.04875862,20.76473888,19.75203061
633195,3315,CECRIN,33.6,24.8,4,0,4,23.75224412,22.36902111,21.27807107
239708,424,CECRIN,35,25.5,2,0,3,24.27600854,22.86228386,21.74727712
77665,3616,CECRIN,21.3,26.3,4,0,4,18.07672467,17.02401818,16.19374701
719031,1901,CECRIN,26.1,27,4,0,4,20.55218956,19.35532321,18.41135296
8187,124,CECRIN,45.2,27.3,4,0,4,27.55245265,25.94792272,24.68242759
4846,2119,CECRIN,44.4,28,4,0,4,27.32528644,25.73398564,24.47892435
4839,2120,CECRIN,44.7,28.4,4,0,4,27.41099865,25.81470636,24.55570827
4088,2621,CECRIN,40.7,30.2,4,0,4,26.21341648,24.68686594,23.48287328
4137,2521,CECRIN,31.9,30.4,4,0,4,23.08767159,21.74315026,20.68272431
39052,4423,CECRIN,27.9,30.5,4,0,4,21.38721354,20.14171918,19.15939595
7317,601,CECRIN,41.2,30.5,3,0,4,26.36985009,24.83418957,23.62301185
54145,4124,CECRIN,37.2,30.7,4,0,4,25.05912701,23.59979706,22.44882138
6089,1424,CECRIN,39.6,30.9,3,0,3,25.86204326,24.35595511,23.16810116
80756,3504,CECRIN,45.8,31.4,4,0,4,27.71992666,26.10564381,24.83245653
725352,2516,CECROB,20,22.2,4,0,3,17.33584225,16.32628139,15.53003925
719036,1901,CECROB,21.3,22.2,4,0,3,18.07672467,17.02401818,16.19374701
713072,1305,CECROB,21.8,23.7,4,2,4,18.35313197,17.28432877,16.44136211
25041,4600,CEIBPE,23.5,19.7,2,0,3,19.25933829,18.13776174,17.25317266
2307,3609,CEIBPE,46.1,22.8,4,0,4,27.80275022,26.18364409,24.9066527
5444,1723,CEIBPE,93,32.7,4,0,5,36.00866068,33.91167953,32.25778741
5027,2012,CEIBPE,128.9,36,4,0,5,39.1179835,36.83992948,35.04322492
4722,2215,CEIBPE,97,36.9,4,0,5,36.43922915,34.31717364,32.64350533
4694,2210,CEIBPE,169.4,39.1,4,0,5,41.30711746,38.90157821,37.00432585
7772,420,CEIBPE,148.2,39.9,4,0,5,40.28304124,37.93713954,36.08692342
