tag,dbh,lianaLoad,species,subplot,height,crownArea,crownDepth,crownVol,regQuality,ptQuality
3742,542,0,Platymiscium pinnatum,59,35.539,108.1848065,18.628,480.2837553,good,ok
3744,345,90,Quararibea asterolepis,59,25.541,30.687009,12.282,161.7554971,good,ok
4350,947,30,Prioria copaifera,51,37.289,263.080514,24.949,2135.798885,good,ok
4356,876,0,Tabebuia guayacan,51,39.107,213.627931,17.356,1323.883325,good,ok
4520,452,0,Pouteria fossicola,49,34.658,148.5719735,24.926,870.193138,good,ok
4521,510,0,Quararibea asterolepis,49,31.774,128.7824895,19.133,871.1174674,good,ok
4524,1200,0,Brosimum alicastrum,49,42.474,539.377503,25.894,3326.262848,good,ok
4528,506,5,Alseis blackiana,49,29.555,88.6153825,17.393,605.8116607,good,ok
4726,495,20,Trichilia tuberculata,49,27.992,54.9361925,14.042,196.9726439,good,ok
4728,427,10,Tetragastris panamensis,49,24.839,56.434326,12.402,265.8859692,good,ok
4735,569,90,Chrysophyllum cainito,49,25.335,112.264187,10.165,366.8851683,good,ok
4738,460,0,Tabernaemontana arborea,49,26.273,81.3375385,14.422,388.4370753,good,ok
5213,2130,0,Ceiba pentandra,36,40.008,1476.999696,16.876,4150.223176,good,ok
5215,1230,20,Prioria copaifera,36,41.994,268.7226095,26.993,1590.006699,good,ok
5219,448,0,Trichilia tuberculata,36,26.949,130.8586795,16.729,499.7620613,good,ok
5220,412,0,Trichilia tuberculata,36,27.565,86.578633,18.595,449.4572215,good,ok
5221,844,0,Astronium graveolens,36,39.808,153.852629,20.217,339.6631148,good,ok
5223,770,25,Tetragastris panamensis,36,36.456,133.3568745,21.075,689.9375633,good,ok
5319,676,25,Prioria copaifera,36,39.349,135.72521,21.983,802.9161592,good,ok
5322,477,20,Tetragastris panamensis,36,28.801,157.5113215,13.43,620.2234386,good,ok
5537,412,100,Prioria copaifera,31,30.196,55.1309025,21.454,388.6776466,good,ok
5538,556,100,Tetragastris panamensis,31,28.528,170.12526,15.939,839.2913966,good,ok
5540,492,75,Alseis blackiana,31,28.625,105.0685785,22.134,494.8372173,good,ok
5542,574,100,Pouteria reticulata,31,27.334,81.966046,13.733,304.2890148,good,ok
5631,633,0,Guatteria dumetorum,28,31.917,128.7452355,9.712,381.0634214,good,ok
5633,468,0,Platymiscium pinnatum,28,31.743,100.89078,17.953,351.7977957,good,ok
5636,393,100,Quararibea asterolepis,28,27.631,53.780861,15.11,249.2750595,bad,ok
5885,688,0,Jacaranda copaia,28,33.801,171.552121,12.57,566.1038042,good,ok
5891,438,15,Alseis blackiana,28,25.553,85.6790955,11.75,372.0883752,good,ok
5892,519,5,Tabernaemontana arborea,28,23.117,121.7574185,18.146,604.0479528,good,ok
5894,457,100,Virola surinamensis,28,26.784,34.305066,9.968,157.4749143,good,ok
5895,393,5,Alseis blackiana,28,28.92,105.1500395,20.117,644.7101572,good,ok
5896,720,0,Quararibea asterolepis,28,29.009,82.5310485,11.285,422.7798351,good,ok
5943,1043,80,Prioria copaifera,23,35.204,176.7935065,14.363,1043.983707,good,ok
5945,626,50,Quararibea asterolepis,23,31.931,129.130698,15.909,787.7757596,good,ok
5949,445,0,Pouteria reticulata,23,31.688,134.3127315,19.217,444.5375321,bad,ok
5953,919,20,Prioria copaifera,23,36.994,197.3407495,23.409,2178.285243,good,ok
